2015 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
CENTENNIAL COLLEGE,Human Resources Management,14,8,57.1%,
CENTENNIAL COLLEGE,Human Services Foundation,12,7,58.3%,
CENTENNIAL COLLEGE,International Business,5,1,20.0%,
CENTENNIAL COLLEGE,International Business Management,5,3,60.0%,
CENTENNIAL COLLEGE,Investment Sales Assistant,9,7,77.8%,
CENTENNIAL COLLEGE,Journalism - Print And Broadcast,30,8,26.7%,
CENTENNIAL COLLEGE,Law Clerk,42,18,42.9%,
CENTENNIAL COLLEGE,Logistics And Supply Chain Management,*,*,*,
CENTENNIAL COLLEGE,Massage Therapy,15,3,20.0%,
CENTENNIAL COLLEGE,Mechanical Engineering Technician,5,2,40.0%,
CENTENNIAL COLLEGE,Mechanical Engineering Technology,25,8,32.0%,
CENTENNIAL COLLEGE,Media Arts - Interactive Multimedia,*,*,*,
CENTENNIAL COLLEGE,Medical Laboratory Assistant,39,22,56.4%,
CENTENNIAL COLLEGE,Motive Power Technician,85,22,25.9%,
CENTENNIAL COLLEGE,Motive Power Techniques - Small Powered Equipment,9,1,11.1%,
CENTENNIAL COLLEGE,New Media Design,*,*,*,
CENTENNIAL COLLEGE,Occupational Therapist Assistant/physiotherapist Assistant (ota/pta),19,9,47.4%,
CENTENNIAL COLLEGE,Office Administration - Executive,17,10,58.8%,
CENTENNIAL COLLEGE,Office Administration - General,7,2,28.6%,
CENTENNIAL COLLEGE,Office Administration - Legal,18,13,72.2%,
CENTENNIAL COLLEGE,Office Administration - Medical,71,30,42.3%,
CENTENNIAL COLLEGE,Paramedic,15,3,20.0%,
CENTENNIAL COLLEGE,Payroll Management,*,*,*,
CENTENNIAL COLLEGE,Personal Financial Services,16,13,81.3%,
CENTENNIAL COLLEGE,Personal Support Worker,34,21,61.8%,
CENTENNIAL COLLEGE,Pharmacy Technician,33,12,36.4%,
CENTENNIAL COLLEGE,Police Foundations,99,35,35.4%,
CENTENNIAL COLLEGE,Practical Nursing,222,122,55.0%,
CENTENNIAL COLLEGE,Pre-business,18,6,33.3%,
CENTENNIAL COLLEGE,Pre-media,17,5,29.4%,
CENTENNIAL COLLEGE,Pre-service Firefighter Education And Training,15,6,40.0%,
CENTENNIAL COLLEGE,Pre-technology,10,2,20.0%,
CENTENNIAL COLLEGE,Preparatory Health Sciences,13,6,46.2%,
CENTENNIAL COLLEGE,Project Management,25,19,76.0%,
CENTENNIAL COLLEGE,Public Relations,45,22,48.9%,
CENTENNIAL COLLEGE,Recreation And Leisure Services,10,3,30.0%,
CENTENNIAL COLLEGE,Refrigeration and Air Conditioning Mechanic - Mechanical Engineering Technician,*,*,*,
CENTENNIAL COLLEGE,Research Analyst,7,4,57.1%,
