2014 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),
CENTENNIAL COLLEGE,Auto Body Repair Techniques,27,10,37.0%,
CENTENNIAL COLLEGE,Automotive Service Technician,6,1,16.7%,
CENTENNIAL COLLEGE,Automotive Service Technician Co-Op,5,2,40.0%,
CENTENNIAL COLLEGE,Aviation Technician - Aircraft Maintenance,44,10,22.7%,
CENTENNIAL COLLEGE,Aviation Technician - Avionics Maintenance,21,9,42.9%,
CENTENNIAL COLLEGE,Bachelor Of Applied Business (integrated Accounting And Information Technology Management),*,*,*,
CENTENNIAL COLLEGE,Bachelor Of Applied Information Sciences (Computer And Communication Networking),16,9,56.3%,
CENTENNIAL COLLEGE,"Bachelor Of Applied Information Sciences (Software Systems - Design, Development And Management)",6,3,50.0%,
CENTENNIAL COLLEGE,Baking - Commercial Bakeries,7,3,42.9%,
CENTENNIAL COLLEGE,Bioinformatics For Software Professionals,*,*,*,
CENTENNIAL COLLEGE,Biological Technician - Industrial Microbiology,8,2,25.0%,
CENTENNIAL COLLEGE,Biological Technology - Industrial Microbiology,28,16,57.1%,
CENTENNIAL COLLEGE,Biomedical Engineering Technology,32,11,34.4%,
CENTENNIAL COLLEGE,Biotechnology Technologist - Industrial Microbiology,17,9,52.9%,
CENTENNIAL COLLEGE,Book And Magazine Publishing,24,12,50.0%,
CENTENNIAL COLLEGE,Bridging To University Nursing,46,22,47.8%,
CENTENNIAL COLLEGE,Broadcasting And Film,43,20,46.5%,
CENTENNIAL COLLEGE,Business,36,14,38.9%,
CENTENNIAL COLLEGE,Business - Accounting,47,17,36.2%,
CENTENNIAL COLLEGE,Business - Finance,25,12,48.0%,
CENTENNIAL COLLEGE,Business - Marketing,17,4,23.5%,
CENTENNIAL COLLEGE,Business - Operations,16,8,50.0%,
CENTENNIAL COLLEGE,Business Accounting – Financial and Credit Management,*,*,*,
CENTENNIAL COLLEGE,Business Administration,35,14,40.0%,
CENTENNIAL COLLEGE,Business Administration - Accounting,68,40,58.8%,
CENTENNIAL COLLEGE,Business Administration - Business Operations Management,21,7,33.3%,
CENTENNIAL COLLEGE,Business Administration - Human Resources,43,23,53.5%,
CENTENNIAL COLLEGE,Business Administration - International Business,22,13,59.1%,
CENTENNIAL COLLEGE,Business Administration - Marketing,18,11,61.1%,
CENTENNIAL COLLEGE,Child And Youth Worker,54,26,48.1%,
CENTENNIAL COLLEGE,"Children's Entertainment: Writing, Production and Management",5,5,100.0%,
CENTENNIAL COLLEGE,Collaborative Nursing,21,8,38.1%,
CENTENNIAL COLLEGE,Communications and Media Foundations,6,4,66.7%,
CENTENNIAL COLLEGE,Community And Justice Services,49,31,63.3%,
CENTENNIAL COLLEGE,Community Services & Child Studies Foundations,15,12,80.0%,
CENTENNIAL COLLEGE,Computer Engineering Technician - Embedded Networks,*,*,*,
CENTENNIAL COLLEGE,Computer Engineering Technology - Embedded Networks,18,3,16.7%,
CENTENNIAL COLLEGE,Computer Repair And Maintenance,15,7,46.7%,
CENTENNIAL COLLEGE,Computer Systems Technician - Networking,14,3,21.4%,
CENTENNIAL COLLEGE,Computer Systems Technology - Networking,28,10,35.7%,
CENTENNIAL COLLEGE,Construction Management,8,5,62.5%,
CENTENNIAL COLLEGE,Contact Centre Operations,19,18,94.7%,
CENTENNIAL COLLEGE,Corporate Communications,38,19,50.0%,
CENTENNIAL COLLEGE,Court Reporting Services,32,23,71.9%,
CENTENNIAL COLLEGE,Culture and Heritage Site Management,*,*,*,
CENTENNIAL COLLEGE,Developmental Services Worker,12,8,66.7%,
CENTENNIAL COLLEGE,Digital Animation,14,7,50.0%,
CENTENNIAL COLLEGE,Early Childhood Assistant,13,4,30.8%,
CENTENNIAL COLLEGE,Early Childhood Education,135,80,59.3%,
CENTENNIAL COLLEGE,Electro-mechanical Engineering Technician - Automation And Robotics,*,*,*,
CENTENNIAL COLLEGE,Electro-mechanical Engineering Technology - Automation And Robotics,19,8,42.1%,
CENTENNIAL COLLEGE,Electrical Construction And Maintenance - Engineer Technician,5,1,20.0%,
CENTENNIAL COLLEGE,Electronics Engineering Technician,12,6,50.0%,
CENTENNIAL COLLEGE,Electronics Engineering Technology,16,10,62.5%,
CENTENNIAL COLLEGE,Energy Systems Engineering Technician,7,3,42.9%,
CENTENNIAL COLLEGE,Energy Systems Engineering Technology,8,3,37.5%,
CENTENNIAL COLLEGE,Environmental Protection Technician,9,4,44.4%,
CENTENNIAL COLLEGE,Environmental Protection Technology,20,12,60.0%,
CENTENNIAL COLLEGE,Esthetician,17,8,47.1%,
CENTENNIAL COLLEGE,Event Management - Festival and Conference,5,4,80.0%,
CENTENNIAL COLLEGE,Financial Planning,13,11,84.6%,
CENTENNIAL COLLEGE,Financial Services,*,*,*,
CENTENNIAL COLLEGE,Financial Services Fundamentals,*,*,*,
CENTENNIAL COLLEGE,Fine Arts Studio,8,6,75.0%,
CENTENNIAL COLLEGE,Food And Nutrition Management,20,9,45.0%,
CENTENNIAL COLLEGE,Food Science Technology,*,*,*,
CENTENNIAL COLLEGE,Food Service Worker,11,10,90.9%,
CENTENNIAL COLLEGE,Game Art and Design,11,5,45.5%,
CENTENNIAL COLLEGE,General Arts And Science,123,67,54.5%,
CENTENNIAL COLLEGE,Global Business Management,*,*,*,
CENTENNIAL COLLEGE,Graphic Design - Media,15,5,33.3%,
CENTENNIAL COLLEGE,Health Informatics Technology,14,3,21.4%,
CENTENNIAL COLLEGE,Heavy Duty Equipment Technician,*,*,*,
CENTENNIAL COLLEGE,Heavy Duty Equipment Technician Co-Op,10,1,10.0%,
CENTENNIAL COLLEGE,Hospitality And Tourism Administration,21,14,66.7%,
CENTENNIAL COLLEGE,Hospitality Foundations,5,1,20.0%,
CENTENNIAL COLLEGE,Hospitality Management - Hotel And Resort,52,23,44.2%,
CENTENNIAL COLLEGE,Hospitality Management – Restaurant and Catering,*,*,*,
CENTENNIAL COLLEGE,Hospitality Operations - Kitchen Management,*,*,*,
CENTENNIAL COLLEGE,Hospitality Services,8,4,50.0%,
CENTENNIAL COLLEGE,"Hotel, Resort and Restaurant Management",*,*,*,
CENTENNIAL COLLEGE,Human Resources Management,25,17,68.0%,
CENTENNIAL COLLEGE,International Business Management,11,5,45.5%,
CENTENNIAL COLLEGE,Journalism - Print,22,10,45.5%,
CENTENNIAL COLLEGE,Law Clerk,41,27,65.9%,
CENTENNIAL COLLEGE,Logistics Management,*,*,*,
CENTENNIAL COLLEGE,Marketing – Research & Analytics,*,*,*,
CENTENNIAL COLLEGE,Marketing – Sales and Account Management,*,*,*,
CENTENNIAL COLLEGE,Massage Therapy,18,4,22.2%,
CENTENNIAL COLLEGE,Mechanical Engineering Technician - Design,*,*,*,
CENTENNIAL COLLEGE,Mechanical Engineering Technology,22,11,50.0%,
CENTENNIAL COLLEGE,Medical Laboratory Technician,35,25,71.4%,
CENTENNIAL COLLEGE,Motive Power Technician - Administration,13,5,38.5%,
CENTENNIAL COLLEGE,Motive Power Technician - Technical,29,5,17.2%,
CENTENNIAL COLLEGE,Motorcycle And Powersports Products Repair Techniques,6,1,16.7%,
CENTENNIAL COLLEGE,New Media Design,*,*,*,
